Marcus Murphy,16,0,0,0,73,1,32,1,0,0,1,20.50
Jared Abbrederis,16,0,0,0,0,0,139,1,0,0,0,19.90
Clay Harbor,16,0,0,0,0,0,138,1,0,0,0,19.80
Juwan Thompson,16,0,0,0,75,1,61,0,0,0,0,19.60
Donteea Dye,16,0,0,0,0,0,134,1,0,0,0,19.40
C.J. Fiedorowicz,16,0,0,0,0,0,133,1,0,0,0,19.30
Austin Johnson,16,0,0,0,47,0,86,1,0,0,0,19.30
Devin Smith,16,0,0,0,0,0,130,1,0,0,0,19.00
Jonathan Krause,16,0,0,0,0,0,129,1,0,0,0,18.90
Adam Thielen,16,0,0,0,0,0,129,1,0,0,0,18.90
Cody Latimer,16,0,0,0,0,0,127,1,0,0,0,18.70
Ryan Hewitt,16,0,0,0,0,0,126,1,0,0,0,18.60
Damien Williams,16,0,0,0,88,1,36,0,0,0,0,18.40
Michael Hoomanawanui,16,0,0,0,0,0,123,1,0,0,0,18.30
Zach Line,16,0,0,0,24,0,94,1,0,0,0,17.80
Levine Toilolo,16,0,0,0,0,0,117,1,0,0,0,17.70
Chris Gragg,16,0,0,0,0,0,114,1,0,0,0,17.40
Ty Montgomery,16,0,0,0,0,0,114,1,0,0,0,17.40
Corey Fuller,16,5,0,0,7,0,103,1,0,0,0,17.20
Kevin Smith,16,0,0,0,0,0,111,1,0,0,0,17.10
Brian Hoyer,16,388,2,3,15,0,0,0,0,0,1,17.02
Kaelin Clay,16,0,0,0,0,0,109,1,0,0,0,16.90
Crockett Gillmore,16,0,0,0,0,0,107,1,0,0,0,16.70
Brandon Tate,16,0,0,0,0,0,107,1,0,0,0,16.70
Jim Dray,16,0,0,0,0,0,106,1,0,0,0,16.60
Rob Housler,16,0,0,0,0,0,106,1,0,0,0,16.60
Jesse James,16,0,0,0,0,0,106,1,0,0,0,16.60
Brenton Bersin,16,0,0,0,0,0,105,1,0,0,0,16.50
Marquess Wilson,16,0,0,0,0,0,185,0,0,0,1,16.50
Gerald Christian,16,0,0,0,0,0,103,1,0,0,0,16.30
Jeff Janis,16,0,0,0,0,0,103,1,0,0,0,16.30
Eric Weems,16,0,0,0,0,0,103,1,0,0,0,16.30
Taiwan Jones,16,5,0,0,82,0,75,0,0,0,0,15.90
Anthony Sherman,16,0,0,0,9,0,90,1,0,0,0,15.90
Patrick DiMarco,16,0,0,0,8,0,90,1,0,0,0,15.80
Cameron Meredith,16,0,0,0,0,0,97,1,0,0,0,15.70
Justin Perillo,16,0,0,0,0,0,95,1,0,0,0,15.50
MyCole Pruitt,16,0,0,0,0,0,93,1,0,0,0,15.30
Aaron Ripkowski,16,0,0,0,33,0,120,0,0,0,0,15.30
Deonte Thompson,16,0,0,0,0,0,150,0,0,0,0,15.00
Griff Whalen,16,0,0,0,0,0,90,1,0,0,0,15.00
Cooper Helfet,16,0,0,0,0,0,86,1,0,0,0,14.60
James O'Shaughnessy,16,0,0,0,0,0,86,1,0,0,0,14.60
Quan Bray,16,0,0,0,0,0,143,0,0,0,0,14.30
Cordarrelle Patterson,16,0,0,0,37,0,44,1,0,0,0,14.10
Devin Street,16,0,0,0,0,0,79,1,0,0,0,13.90
Matt Spaeth,16,5,0,0,4,0,71,1,0,0,0,13.70
C.J. Uzomah,16,0,0,0,0,0,75,1,0,0,0,13.50
Malcolm Mitchell,16,0,0,0,0,0,134,0,0,0,0,13.40
Bradley Marquez,16,0,0,0,0,0,133,0,0,0,0,13.30
Daryl Richardson,16,0,0,0,0,0,71,1,0,0,0,13.10
Bruce Miller,16,0,0,0,17,0,113,0,0,0,0,13.00
Bobby Rainey,16,0,0,0,88,0,60,0,0,0,1,12.80
Demetrius Harris,16,0,0,0,0,0,67,1,0,0,0,12.70
Jeff Cumberland,16,0,0,0,0,0,62,1,0,0,0,12.20
Jake Stoneburner,16,5,0,0,4,0,55,1,0,0,0,12.10
